prev_owner,new_owner,nft_address,col_address,price
309BE6D754457370A46B8AADB3F8EDDA0A9F8521C014947C2AA62CA1B5B1A96D,75B1DA5209900C8E4669E8EAAAE45374A9111DFA68A06D36522ED46CDDA2DE7C,E79F124DE1B2454777F55313B37925D809DEDF3969EFC3187EC90CDE101780F6,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,4955121460
71E79A42BFB7E55EFC18A8ACAA57D7AADA7E4A2E4D47DF831AA88FF92536C2E7,003A5814DB9DCF0EB7C792242351870AD0A646749A2AEE7A3C38408E46151892,70A8B07C8C948294614BBE2E522463E9C7E37BA0520EF9145E39E71D0913CCD8,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,7972698684
8C6CF968062A214A81FA954987BA05F279078505E105944524AF70FF6D34B16F,89D7C5DBA5E8535DED913FB55CFE2969AB747AB5E3E45498841A240F41730352,ADD340F53A68A98470830E98EE9500745C70D044E46BBFF7B8181A7533D485B2,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,5954042940
D66AD2E66D82F6396F478C6FA021B532568079AD93F5117054F5BCD323F7EA2B,CE1EB8C9B821451F99B95DABC24C6D5E818DC3D381DF9663CC39472348713DAD,A02C2F03034DD66750F1B91B1841FFFAE755E8F7673FA0D12F3117D262C7B62A,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,29746703507
EF62F115673684E8F863BED05868E5C46998F6E45F22E922119F07C663D9B9DA,E5C43F49F74824DCE7371F9E5A91895ACC82619E8709573CE08D5CFE7DC942B2,3B9A6DFA1FD84C027D075A04BC19C4CEE1A738FDEECAD8D2397B45CE8ED4E056,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,9978102547
E5C43F49F74824DCE7371F9E5A91895ACC82619E8709573CE08D5CFE7DC942B2,EF62F115673684E8F863BED05868E5C46998F6E45F22E922119F07C663D9B9DA,3B9A6DFA1FD84C027D075A04BC19C4CEE1A738FDEECAD8D2397B45CE8ED4E056,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,9989523793
06A85606006B23CCF2F3CFA5B6B990F9A333D4EB95867889E3A755CEF2A6C7B4,6686CDD4C908CB96F64F087F9D4ECFAC978416C9369D5D8427874A22B68A84E4,BACABDFDCBB3928E5AD7D59BE156FE2162D2EB3388A1644FD49B523F6524AB81,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,1799960171261
4ECA2D707BC499CF2CA0245E2F4EF68676BE383F7A43DABAAB8298B49A4B7DB7,95A3154EBD334EE00352F2A449C916F22F7C753A15EA6ABA27385C07B581C6EB,B7E3FADD0CCEB196FD50796AA2D7BB1C46DBB8D3F1CFCBF5E84C40C0BE59AF4C,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,6985094036
95A3154EBD334EE00352F2A449C916F22F7C753A15EA6ABA27385C07B581C6EB,4ECA2D707BC499CF2CA0245E2F4EF68676BE383F7A43DABAAB8298B49A4B7DB7,B7E3FADD0CCEB196FD50796AA2D7BB1C46DBB8D3F1CFCBF5E84C40C0BE59AF4C,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,5946340636
849827C51A437DD8E892206CCCE61392F988B19E8060343C43FD8E9D091C10FB,401CF1EFC281FAF2F86BEC694EA85D5464864FB8EC3AC310FD65BFAE2397E89A,78C8F997FDCE4326A00D8751649A885712F70B309295E7ADC65FE9BAAA0B5CB8,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,10959487443
